feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
force_peak_amplitude,duration,0.3403,0.1329,0.1691,True,0.994,0.006,"(0.076, 0.584)",True,positive
force_width_0.5 s,duration,0.2465,0.1356,0.7179,True,0.964,0.036,"(-0.024, 0.497)",False,inconclusive
force_width_0.5 s,force_peak_amplitude,0.8716,0.0417,0.0,False,1.0,0.0,"(0.758, 0.925)",True,positive
force_width_0.2 s,duration,0.2727,0.1348,0.1997,True,0.977,0.023,"(0.011, 0.522)",True,positive
force_width_0.2 s,force_peak_amplitude,0.8947,0.0416,0.0,False,1.0,0.0,"(0.778, 0.949)",True,positive
force_width_0.2 s,force_width_0.5 s,0.946,0.0175,0.0,False,1.0,0.0,"(0.902, 0.972)",True,positive
force_width_0.8 s,duration,0.2908,0.1332,0.2465,True,0.983,0.017,"(0.029, 0.541)",True,positive
force_width_0.8 s,force_peak_amplitude,0.9076,0.03,0.0,False,1.0,0.0,"(0.832, 0.948)",True,positive
force_width_0.8 s,force_width_0.5 s,0.9358,0.0207,0.0,False,1.0,0.0,"(0.885, 0.967)",True,positive
force_width_0.8 s,force_width_0.2 s,0.9284,0.0203,0.0,False,1.0,0.0,"(0.877, 0.959)",True,positive
force_rise_time_0.2_0.8 s,duration,-0.1268,0.1548,0.4254,True,0.2,0.8,"(-0.41, 0.18)",False,inconclusive
force_rise_time_0.2_0.8 s,force_peak_amplitude,0.0185,0.1488,0.5274,True,0.555,0.445,"(-0.274, 0.3)",False,inconclusive
force_rise_time_0.2_0.8 s,force_width_0.5 s,0.2645,0.136,0.0,False,0.957,0.043,"(-0.048, 0.487)",False,inconclusive
force_rise_time_0.2_0.8 s,force_width_0.2 s,0.25,0.1393,0.0,False,0.951,0.049,"(-0.061, 0.478)",False,inconclusive
force_rise_time_0.2_0.8 s,force_width_0.8 s,0.1809,0.1407,0.0,False,0.902,0.098,"(-0.125, 0.427)",False,inconclusive
force_rise_time_0.8_max s,duration,0.1501,0.1536,0.0062,False,0.842,0.158,"(-0.175, 0.436)",False,inconclusive
force_rise_time_0.8_max s,force_peak_amplitude,0.5611,0.115,0.0,False,1.0,0.0,"(0.314, 0.75)",True,positive
force_rise_time_0.8_max s,force_width_0.5 s,0.6011,0.1145,0.0,False,1.0,0.0,"(0.334, 0.781)",True,positive
force_rise_time_0.8_max s,force_width_0.2 s,0.5872,0.1141,0.0,False,1.0,0.0,"(0.333, 0.767)",True,positive
force_rise_time_0.8_max s,force_width_0.8 s,0.5582,0.1233,0.0,False,0.999,0.001,"(0.277, 0.757)",True,positive
force_rise_time_0.8_max s,force_rise_time_0.2_0.8 s,0.2242,0.1486,0.0106,False,0.919,0.081,"(-0.085, 0.501)",False,inconclusive
force_decay_time_max_0.8 s,duration,0.2587,0.1237,0.1087,True,0.977,0.023,"(0.006, 0.483)",True,positive
force_decay_time_max_0.8 s,force_peak_amplitude,0.8256,0.06,0.0,False,1.0,0.0,"(0.701, 0.918)",True,positive
force_decay_time_max_0.8 s,force_width_0.5 s,0.837,0.0518,0.0,False,1.0,0.0,"(0.714, 0.912)",True,positive
force_decay_time_max_0.8 s,force_width_0.2 s,0.8262,0.0519,0.0,False,1.0,0.0,"(0.708, 0.899)",True,positive
force_decay_time_max_0.8 s,force_width_0.8 s,0.8362,0.0462,0.0,False,1.0,0.0,"(0.72, 0.902)",True,positive
force_decay_time_max_0.8 s,force_rise_time_0.2_0.8 s,0.1933,0.1357,0.001,False,0.922,0.077,"(-0.094, 0.433)",False,inconclusive
force_decay_time_max_0.8 s,force_rise_time_0.8_max s,0.4177,0.1404,0.0,False,0.997,0.003,"(0.115, 0.657)",True,positive
force_decay_time_0.2_0.8 s,duration,0.1959,0.1424,0.4107,True,0.916,0.084,"(-0.08, 0.458)",False,inconclusive
force_decay_time_0.2_0.8 s,force_peak_amplitude,0.8636,0.0463,0.0,False,1.0,0.0,"(0.745, 0.927)",True,positive
force_decay_time_0.2_0.8 s,force_width_0.5 s,0.9179,0.0199,0.0,False,1.0,0.0,"(0.872, 0.949)",True,positive
force_decay_time_0.2_0.8 s,force_width_0.2 s,0.9163,0.0244,0.0,False,1.0,0.0,"(0.855, 0.951)",True,positive
force_decay_time_0.2_0.8 s,force_width_0.8 s,0.8978,0.0324,0.0,False,1.0,0.0,"(0.819, 0.944)",True,positive
force_decay_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,0.258,0.1397,0.0,False,0.952,0.048,"(-0.06, 0.499)",False,inconclusive
force_decay_time_0.2_0.8 s,force_rise_time_0.8_max s,0.538,0.1236,0.0,False,1.0,0.0,"(0.276, 0.74)",True,positive
force_decay_time_0.2_0.8 s,force_decay_time_max_0.8 s,0.8258,0.0473,0.0,False,1.0,0.0,"(0.72, 0.899)",True,positive
calc_peak_amplitude,duration,-0.1162,0.1512,0.4862,True,0.223,0.777,"(-0.419, 0.179)",False,inconclusive
calc_peak_amplitude,force_peak_amplitude,0.2459,0.1358,0.2175,True,0.968,0.032,"(-0.013, 0.503)",False,inconclusive
calc_peak_amplitude,force_width_0.5 s,0.1542,0.1368,0.0734,True,0.877,0.123,"(-0.13, 0.413)",False,inconclusive
calc_peak_amplitude,force_width_0.2 s,0.1522,0.1272,0.0419,False,0.892,0.108,"(-0.118, 0.386)",False,inconclusive
calc_peak_amplitude,force_width_0.8 s,0.206,0.1343,0.1378,True,0.945,0.055,"(-0.073, 0.46)",False,inconclusive
calc_peak_amplitude,force_rise_time_0.2_0.8 s,-0.3783,0.15,0.0,False,0.012,0.988,"(-0.631, -0.064)",True,negative
calc_peak_amplitude,force_rise_time_0.8_max s,-0.0439,0.1499,0.9673,True,0.377,0.623,"(-0.344, 0.245)",False,inconclusive
calc_peak_amplitude,force_decay_time_max_0.8 s,0.2401,0.1369,0.0026,False,0.948,0.052,"(-0.047, 0.498)",False,inconclusive
