feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
force_peak_amplitude,duration,-0.763,0.0224,0.0,False,0.0,1.0,"(-0.804, -0.715)",True,negative
force_width_0.5 s,duration,0.8212,0.0236,0.0,False,1.0,0.0,"(0.771, 0.861)",True,positive
force_width_0.5 s,force_peak_amplitude,-0.7857,0.0224,0.0176,False,0.0,1.0,"(-0.825, -0.739)",True,negative
force_width_0.2 s,duration,0.8164,0.0256,0.0001,False,1.0,0.0,"(0.76, 0.861)",True,positive
force_width_0.2 s,force_peak_amplitude,-0.7676,0.026,0.0001,False,0.0,1.0,"(-0.814, -0.712)",True,negative
force_width_0.2 s,force_width_0.5 s,0.938,0.008,0.0,False,1.0,0.0,"(0.92, 0.952)",True,positive
force_width_0.8 s,duration,0.7682,0.0305,0.0,False,1.0,0.0,"(0.704, 0.825)",True,positive
force_width_0.8 s,force_peak_amplitude,-0.724,0.029,0.0,False,0.0,1.0,"(-0.774, -0.659)",True,negative
force_width_0.8 s,force_width_0.5 s,0.8651,0.0231,0.0,False,1.0,0.0,"(0.81, 0.903)",True,positive
force_width_0.8 s,force_width_0.2 s,0.838,0.0266,0.0,False,1.0,0.0,"(0.78, 0.883)",True,positive
force_rise_time_0.2_0.8 s,duration,-0.2415,0.0745,0.9123,True,0.0,1.0,"(-0.387, -0.093)",True,negative
force_rise_time_0.2_0.8 s,force_peak_amplitude,0.5547,0.0549,0.0,False,1.0,0.0,"(0.439, 0.65)",True,positive
force_rise_time_0.2_0.8 s,force_width_0.5 s,-0.3366,0.0678,0.125,True,0.0,1.0,"(-0.459, -0.196)",True,negative
force_rise_time_0.2_0.8 s,force_width_0.2 s,-0.3332,0.0684,0.1805,True,0.0,1.0,"(-0.459, -0.2)",True,negative
force_rise_time_0.2_0.8 s,force_width_0.8 s,-0.2557,0.0703,0.7279,True,0.0,1.0,"(-0.39, -0.116)",True,negative
force_rise_time_0.8_max s,duration,0.2152,0.0702,0.1527,True,0.999,0.001,"(0.072, 0.343)",True,positive
force_rise_time_0.8_max s,force_peak_amplitude,-0.0153,0.0726,0.8223,True,0.421,0.579,"(-0.163, 0.126)",False,inconclusive
force_rise_time_0.8_max s,force_width_0.5 s,0.1622,0.071,0.3984,True,0.988,0.012,"(0.023, 0.303)",True,positive
force_rise_time_0.8_max s,force_width_0.2 s,0.1555,0.0701,0.1133,True,0.988,0.012,"(0.015, 0.291)",True,positive
force_rise_time_0.8_max s,force_width_0.8 s,0.2784,0.0685,0.5267,True,1.0,0.0,"(0.142, 0.406)",True,positive
force_rise_time_0.8_max s,force_rise_time_0.2_0.8 s,0.346,0.0616,0.061,True,1.0,0.0,"(0.228, 0.469)",True,positive
force_decay_time_max_0.8 s,duration,0.6855,0.0312,0.2217,True,1.0,0.0,"(0.622, 0.744)",True,positive
force_decay_time_max_0.8 s,force_peak_amplitude,-0.7264,0.0344,0.0076,False,0.0,1.0,"(-0.79, -0.654)",True,negative
force_decay_time_max_0.8 s,force_width_0.5 s,0.8067,0.0203,0.0015,False,1.0,0.0,"(0.766, 0.843)",True,positive
force_decay_time_max_0.8 s,force_width_0.2 s,0.808,0.0204,0.0004,False,1.0,0.0,"(0.766, 0.847)",True,positive
force_decay_time_max_0.8 s,force_width_0.8 s,0.7481,0.0275,0.0003,False,1.0,0.0,"(0.691, 0.797)",True,positive
force_decay_time_max_0.8 s,force_rise_time_0.2_0.8 s,-0.4725,0.0579,0.0892,True,0.0,1.0,"(-0.579, -0.351)",True,negative
force_decay_time_max_0.8 s,force_rise_time_0.8_max s,-0.0847,0.0658,0.5727,True,0.104,0.896,"(-0.21, 0.046)",False,inconclusive
force_decay_time_0.2_0.8 s,duration,0.6766,0.028,0.4371,True,1.0,0.0,"(0.619, 0.729)",True,positive
force_decay_time_0.2_0.8 s,force_peak_amplitude,-0.6699,0.0451,0.0207,False,0.0,1.0,"(-0.755, -0.578)",True,negative
force_decay_time_0.2_0.8 s,force_width_0.5 s,0.7827,0.0217,0.0001,False,1.0,0.0,"(0.738, 0.824)",True,positive
force_decay_time_0.2_0.8 s,force_width_0.2 s,0.8316,0.0178,0.0001,False,1.0,0.0,"(0.794, 0.863)",True,positive
force_decay_time_0.2_0.8 s,force_width_0.8 s,0.6442,0.0386,0.0001,False,1.0,0.0,"(0.561, 0.715)",True,positive
force_decay_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,-0.5213,0.0535,0.0002,False,0.0,1.0,"(-0.615, -0.41)",True,negative
force_decay_time_0.2_0.8 s,force_rise_time_0.8_max s,-0.1253,0.0649,0.3562,True,0.029,0.971,"(-0.247, 0.009)",False,inconclusive
force_decay_time_0.2_0.8 s,force_decay_time_max_0.8 s,0.7715,0.0253,0.0064,False,1.0,0.0,"(0.719, 0.818)",True,positive
calc_peak_amplitude,duration,-0.7987,0.019,0.3707,True,0.0,1.0,"(-0.834, -0.76)",True,negative
calc_peak_amplitude,force_peak_amplitude,0.8533,0.0207,0.0,False,1.0,0.0,"(0.81, 0.89)",True,positive
calc_peak_amplitude,force_width_0.5 s,-0.7827,0.0232,0.0001,False,0.0,1.0,"(-0.823, -0.733)",True,negative
calc_peak_amplitude,force_width_0.2 s,-0.8106,0.0209,0.0,False,0.0,1.0,"(-0.848, -0.765)",True,negative
calc_peak_amplitude,force_width_0.8 s,-0.6708,0.0328,0.0,False,0.0,1.0,"(-0.729, -0.598)",True,negative
