feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
force_peak_amplitude,duration,0.7637,0.0409,0.0,False,1.0,0.0,"(0.676, 0.833)",True,positive
force_width_0.5 s,duration,0.8104,0.0354,0.0,False,1.0,0.0,"(0.738, 0.87)",True,positive
force_width_0.5 s,force_peak_amplitude,0.9392,0.0111,0.0,False,1.0,0.0,"(0.916, 0.957)",True,positive
force_width_0.2 s,duration,0.8058,0.0374,0.0,False,1.0,0.0,"(0.725, 0.873)",True,positive
force_width_0.2 s,force_peak_amplitude,0.9388,0.0133,0.0,False,1.0,0.0,"(0.908, 0.961)",True,positive
force_width_0.2 s,force_width_0.5 s,0.9692,0.0076,0.0,False,1.0,0.0,"(0.952, 0.98)",True,positive
force_width_0.8 s,duration,0.8106,0.0334,0.0,False,1.0,0.0,"(0.741, 0.869)",True,positive
force_width_0.8 s,force_peak_amplitude,0.9029,0.0173,0.0,False,1.0,0.0,"(0.864, 0.931)",True,positive
force_width_0.8 s,force_width_0.5 s,0.9557,0.0072,0.0,False,1.0,0.0,"(0.941, 0.968)",True,positive
force_width_0.8 s,force_width_0.2 s,0.943,0.0115,0.0,False,1.0,0.0,"(0.918, 0.962)",True,positive
force_rise_time_0.2_0.8 s,duration,0.7538,0.0413,0.0001,False,1.0,0.0,"(0.665, 0.827)",True,positive
force_rise_time_0.2_0.8 s,force_peak_amplitude,0.8814,0.0287,0.0,False,1.0,0.0,"(0.815, 0.922)",True,positive
force_rise_time_0.2_0.8 s,force_width_0.5 s,0.9085,0.0202,0.0,False,1.0,0.0,"(0.863, 0.937)",True,positive
force_rise_time_0.2_0.8 s,force_width_0.2 s,0.914,0.0125,0.0,False,1.0,0.0,"(0.886, 0.937)",True,positive
force_rise_time_0.2_0.8 s,force_width_0.8 s,0.8932,0.0225,0.0,False,1.0,0.0,"(0.841, 0.924)",True,positive
force_rise_time_0.8_max s,duration,0.6761,0.0535,0.0,False,1.0,0.0,"(0.559, 0.772)",True,positive
force_rise_time_0.8_max s,force_peak_amplitude,0.8063,0.0269,0.0,False,1.0,0.0,"(0.748, 0.854)",True,positive
force_rise_time_0.8_max s,force_width_0.5 s,0.8321,0.0265,0.0,False,1.0,0.0,"(0.773, 0.88)",True,positive
force_rise_time_0.8_max s,force_width_0.2 s,0.8332,0.0267,0.0,False,1.0,0.0,"(0.776, 0.877)",True,positive
force_rise_time_0.8_max s,force_width_0.8 s,0.8094,0.0304,0.0,False,1.0,0.0,"(0.745, 0.862)",True,positive
force_rise_time_0.8_max s,force_rise_time_0.2_0.8 s,0.7574,0.0416,0.0,False,1.0,0.0,"(0.67, 0.828)",True,positive
force_decay_time_max_0.8 s,duration,0.6536,0.0533,0.0002,False,1.0,0.0,"(0.543, 0.748)",True,positive
force_decay_time_max_0.8 s,force_peak_amplitude,0.785,0.0345,0.0001,False,1.0,0.0,"(0.714, 0.848)",True,positive
force_decay_time_max_0.8 s,force_width_0.5 s,0.8061,0.032,0.0,False,1.0,0.0,"(0.734, 0.863)",True,positive
force_decay_time_max_0.8 s,force_width_0.2 s,0.793,0.0352,0.0,False,1.0,0.0,"(0.718, 0.853)",True,positive
force_decay_time_max_0.8 s,force_width_0.8 s,0.7916,0.0336,0.0,False,1.0,0.0,"(0.718, 0.851)",True,positive
force_decay_time_max_0.8 s,force_rise_time_0.2_0.8 s,0.7611,0.0416,0.0,False,1.0,0.0,"(0.672, 0.833)",True,positive
force_decay_time_max_0.8 s,force_rise_time_0.8_max s,0.5955,0.0533,0.0002,False,1.0,0.0,"(0.483, 0.693)",True,positive
force_decay_time_0.2_0.8 s,duration,0.7311,0.0429,0.001,False,1.0,0.0,"(0.64, 0.812)",True,positive
