feature1,feature2,nifedipine_correlation_mean,nifedipine_correlation_std,nifedipine_shapiro_p_value,nifedipine_is_normal,nifedipine_positive_proportion,nifedipine_negative_proportion,nifedipine_ci_95,nifedipine_correlated,nifedipine_correlation_type,e4031_correlation_mean,e4031_correlation_std,e4031_shapiro_p_value,e4031_is_normal,e4031_positive_proportion,e4031_negative_proportion,e4031_ci_95,e4031_correlated,e4031_correlation_type,ca_titration_correlation_mean,ca_titration_correlation_std,ca_titration_shapiro_p_value,ca_titration_is_normal,ca_titration_positive_proportion,ca_titration_negative_proportion,ca_titration_ci_95,ca_titration_correlated,ca_titration_correlation_type
force_peak_amplitude,duration,0.7637,0.0409,0.0,False,1.0,0.0,"(0.676, 0.833)",True,positive,0.5992,0.0935,0.0,False,1.0,0.0,"(0.389, 0.772)",True,positive,-0.763,0.0224,0.0,False,0.0,1.0,"(-0.804, -0.715)",True,negative
force_width_0.5 s,duration,0.8104,0.0354,0.0,False,1.0,0.0,"(0.738, 0.87)",True,positive,0.4315,0.099,0.0,False,1.0,0.0,"(0.221, 0.605)",True,positive,0.8212,0.0236,0.0,False,1.0,0.0,"(0.771, 0.861)",True,positive
force_width_0.5 s,force_peak_amplitude,0.9392,0.0111,0.0,False,1.0,0.0,"(0.916, 0.957)",True,positive,0.3658,0.1179,0.0015,False,0.997,0.003,"(0.117, 0.58)",True,positive,-0.7857,0.0224,0.0176,False,0.0,1.0,"(-0.825, -0.739)",True,negative
force_width_0.2 s,duration,0.8058,0.0374,0.0,False,1.0,0.0,"(0.725, 0.873)",True,positive,0.3683,0.1272,0.0,False,0.995,0.005,"(0.112, 0.588)",True,positive,0.8164,0.0256,0.0001,False,1.0,0.0,"(0.76, 0.861)",True,positive
force_width_0.2 s,force_peak_amplitude,0.9388,0.0133,0.0,False,1.0,0.0,"(0.908, 0.961)",True,positive,0.2485,0.1578,0.0,False,0.928,0.072,"(-0.086, 0.525)",False,inconclusive,-0.7676,0.026,0.0001,False,0.0,1.0,"(-0.814, -0.712)",True,negative
force_width_0.2 s,force_width_0.5 s,0.9692,0.0076,0.0,False,1.0,0.0,"(0.952, 0.98)",True,positive,0.5767,0.086,0.0,False,1.0,0.0,"(0.395, 0.726)",True,positive,0.938,0.008,0.0,False,1.0,0.0,"(0.92, 0.952)",True,positive
force_width_0.8 s,duration,0.8106,0.0334,0.0,False,1.0,0.0,"(0.741, 0.869)",True,positive,0.2757,0.1193,0.3827,True,0.988,0.012,"(0.045, 0.504)",True,positive,0.7682,0.0305,0.0,False,1.0,0.0,"(0.704, 0.825)",True,positive
force_width_0.8 s,force_peak_amplitude,0.9029,0.0173,0.0,False,1.0,0.0,"(0.864, 0.931)",True,positive,0.5168,0.1153,0.0,False,1.0,0.0,"(0.275, 0.716)",True,positive,-0.724,0.029,0.0,False,0.0,1.0,"(-0.774, -0.659)",True,negative
force_width_0.8 s,force_width_0.5 s,0.9557,0.0072,0.0,False,1.0,0.0,"(0.941, 0.968)",True,positive,0.3449,0.1178,0.224,True,0.997,0.003,"(0.092, 0.572)",True,positive,0.8651,0.0231,0.0,False,1.0,0.0,"(0.81, 0.903)",True,positive
force_width_0.8 s,force_width_0.2 s,0.943,0.0115,0.0,False,1.0,0.0,"(0.918, 0.962)",True,positive,0.4614,0.1305,0.0,False,0.997,0.003,"(0.189, 0.695)",True,positive,0.838,0.0266,0.0,False,1.0,0.0,"(0.78, 0.883)",True,positive
force_rise_time_0.2_0.8 s,duration,0.7538,0.0413,0.0001,False,1.0,0.0,"(0.665, 0.827)",True,positive,-0.3449,0.1151,0.0003,False,0.003,0.997,"(-0.56, -0.095)",True,negative,-0.2415,0.0745,0.9123,True,0.0,1.0,"(-0.387, -0.093)",True,negative
force_rise_time_0.2_0.8 s,force_peak_amplitude,0.8814,0.0287,0.0,False,1.0,0.0,"(0.815, 0.922)",True,positive,-0.5618,0.0818,0.0,False,0.0,1.0,"(-0.702, -0.38)",True,negative,0.5547,0.0549,0.0,False,1.0,0.0,"(0.439, 0.65)",True,positive
force_rise_time_0.2_0.8 s,force_width_0.5 s,0.9085,0.0202,0.0,False,1.0,0.0,"(0.863, 0.937)",True,positive,-0.3006,0.1227,0.2016,True,0.006,0.994,"(-0.531, -0.048)",True,negative,-0.3366,0.0678,0.125,True,0.0,1.0,"(-0.459, -0.196)",True,negative
force_rise_time_0.2_0.8 s,force_width_0.2 s,0.914,0.0125,0.0,False,1.0,0.0,"(0.886, 0.937)",True,positive,-0.1831,0.1228,0.7911,True,0.066,0.934,"(-0.43, 0.055)",False,inconclusive,-0.3332,0.0684,0.1805,True,0.0,1.0,"(-0.459, -0.2)",True,negative
force_rise_time_0.2_0.8 s,force_width_0.8 s,0.8932,0.0225,0.0,False,1.0,0.0,"(0.841, 0.924)",True,positive,-0.2006,0.1302,0.0001,False,0.068,0.932,"(-0.428, 0.067)",False,inconclusive,-0.2557,0.0703,0.7279,True,0.0,1.0,"(-0.39, -0.116)",True,negative
force_rise_time_0.8_max s,duration,0.6761,0.0535,0.0,False,1.0,0.0,"(0.559, 0.772)",True,positive,0.0621,0.127,0.0055,False,0.671,0.329,"(-0.176, 0.293)",False,inconclusive,0.2152,0.0702,0.1527,True,0.999,0.001,"(0.072, 0.343)",True,positive
force_rise_time_0.8_max s,force_peak_amplitude,0.8063,0.0269,0.0,False,1.0,0.0,"(0.748, 0.854)",True,positive,-0.0959,0.1305,0.8907,True,0.246,0.754,"(-0.352, 0.159)",False,inconclusive,-0.0153,0.0726,0.8223,True,0.421,0.579,"(-0.163, 0.126)",False,inconclusive
force_rise_time_0.8_max s,force_width_0.5 s,0.8321,0.0265,0.0,False,1.0,0.0,"(0.773, 0.88)",True,positive,-0.0403,0.1348,0.4904,True,0.39,0.61,"(-0.303, 0.237)",False,inconclusive,0.1622,0.071,0.3984,True,0.988,0.012,"(0.023, 0.303)",True,positive
force_rise_time_0.8_max s,force_width_0.2 s,0.8332,0.0267,0.0,False,1.0,0.0,"(0.776, 0.877)",True,positive,0.027,0.1336,0.2092,True,0.575,0.425,"(-0.226, 0.294)",False,inconclusive,0.1555,0.0701,0.1133,True,0.988,0.012,"(0.015, 0.291)",True,positive
