feature_pair,feature1,feature2,thesis_feature_pair,id
calc_width_0.2 s vs calc_width_0.5 s,calc_width_0.2 s,calc_width_0.5 s,Ca$^{2+}$ Width 0.2 [s] vs Ca$^{2+}$ Width 0.5 [s],1
calc_decay_time_0.2_0.8 s vs calc_width_0.2 s,calc_decay_time_0.2_0.8 s,calc_width_0.2 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Ca$^{2+}$ Width 0.2 [s],2
force_width_0.2 s vs force_width_0.5 s,force_width_0.2 s,force_width_0.5 s,Force Width 0.2 [s] vs Force Width 0.5 [s],3
calc_width_0.5 s vs force_decay_time_0.2_0.8 s,calc_width_0.5 s,force_decay_time_0.2_0.8 s,Ca$^{2+}$ Width 0.5 [s] vs Force DT 0.2-0.8 [s],4
force_width_0.5 s vs force_width_0.8 s,force_width_0.5 s,force_width_0.8 s,Force Width 0.5 [s] vs Force Width 0.8 [s],5
calc_width_0.5 s vs force_width_0.2 s,calc_width_0.5 s,force_width_0.2 s,Ca$^{2+}$ Width 0.5 [s] vs Force Width 0.2 [s],6
calc_width_0.2 s vs force_width_0.2 s,calc_width_0.2 s,force_width_0.2 s,Ca$^{2+}$ Width 0.2 [s] vs Force Width 0.2 [s],7
force_width_0.2 s vs force_width_0.8 s,force_width_0.2 s,force_width_0.8 s,Force Width 0.2 [s] vs Force Width 0.8 [s],8
calc_width_0.2 s vs force_decay_time_0.2_0.8 s,calc_width_0.2 s,force_decay_time_0.2_0.8 s,Ca$^{2+}$ Width 0.2 [s] vs Force DT 0.2-0.8 [s],9
calc_width_0.5 s vs force_width_0.5 s,calc_width_0.5 s,force_width_0.5 s,Ca$^{2+}$ Width 0.5 [s] vs Force Width 0.5 [s],10
calc_width_0.2 s vs force_width_0.5 s,calc_width_0.2 s,force_width_0.5 s,Ca$^{2+}$ Width 0.2 [s] vs Force Width 0.5 [s],11
calc_width_0.5 s vs calc_width_0.8 s,calc_width_0.5 s,calc_width_0.8 s,Ca$^{2+}$ Width 0.5 [s] vs Ca$^{2+}$ Width 0.8 [s],12
force_decay_time_0.2_0.8 s vs force_width_0.5 s,force_decay_time_0.2_0.8 s,force_width_0.5 s,Force DT 0.2-0.8 [s] vs Force Width 0.5 [s],13
force_decay_time_0.2_0.8 s vs force_width_0.2 s,force_decay_time_0.2_0.8 s,force_width_0.2 s,Force DT 0.2-0.8 [s] vs Force Width 0.2 [s],14
calc_width_0.5 s vs force_width_0.8 s,calc_width_0.5 s,force_width_0.8 s,Ca$^{2+}$ Width 0.5 [s] vs Force Width 0.8 [s],15
force_peak_amplitude vs force_width_0.8 s,force_peak_amplitude,force_width_0.8 s,Force Peak Amplitude [mN] vs Force Width 0.8 [s],16
calc_width_0.2 s vs force_width_0.8 s,calc_width_0.2 s,force_width_0.8 s,Ca$^{2+}$ Width 0.2 [s] vs Force Width 0.8 [s],17
calc_decay_time_0.2_0.8 s vs force_width_0.2 s,calc_decay_time_0.2_0.8 s,force_width_0.2 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Force Width 0.2 [s],18
