,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
duration,0.1686352317001462,0.07293205550596017,0.20017604349092838,-0.0927589205617652,-0.23303587030103307,0.8600617795718165,0.2296403268096017,0.15730939012981343,0.17205939107665974
force_peak_amplitude,-0.31632946000542117,0.21714986047945867,-0.12937860067276022,-0.0012889453288134935,0.10414871913091185,0.0848601421684139,-0.12059088285342262,-0.058507730994226084,0.03676227968416737
force_width_0.5 s,0.3456158967317071,0.1052842839546027,0.05893264706581941,0.02836998313514637,-0.07870105942113778,-0.06509633713541875,-0.15237091530881772,-0.23489303513992998,0.023631717885322666
force_width_0.2 s,0.3415071098665034,0.13901944103553127,0.006542271527958582,0.0557953978373968,-0.06279004510824299,-0.019872389226591663,-0.2223686432758119,-0.23025650326535674,-0.07033255554926891
force_width_0.8 s,0.3132110070315693,0.10638118949945014,0.15066011401078583,-0.03448919683894996,-0.1800642935025785,-0.21287989090690237,0.18404739909716533,-0.07313242324709707,0.07111497093991043
force_rise_time_0.2_0.8 s,-0.22892643979898736,0.23870267246005383,0.24549306585860525,-0.28924561348517414,-0.1626391478020918,-0.0022677925337614936,-0.26563467233732885,-0.018279367523290027,-0.25705653585107774
force_rise_time_0.8_max s,-0.008670522633797651,0.17701707023978144,0.39945559499400307,-0.4347764360764173,-0.40427834621796555,-0.3197105191070527,0.1022392270468549,-0.03317078304590384,0.14142458705510552
force_decay_time_max_0.8 s,0.3322018590765936,0.011787184205781417,-0.055955649155599974,0.16458456914725889,0.012179461232886206,-0.03486604437713368,0.1396401461865214,-0.07161607279005631,-0.0399196476976991
force_decay_time_0.2_0.8 s,0.32245454429945675,0.05620606562158421,-0.139118649592839,0.17047488160353091,0.052255601312765944,0.09297271480208032,-0.29483676650525553,-0.25304324574214776,-0.03187857950985487
calc_peak_amplitude,-0.29556917667942273,0.11005167630372062,-0.16750599084536663,0.01504152620429217,0.0869004809384806,-0.059447168564511016,-0.034212889916683586,0.11334275986760062,0.3851951606006506
calc_width_0.5 s,0.11846326989889423,0.3662800519657943,0.21766772403843315,0.11464256830985825,0.23404381883211534,-0.02281845808489853,-0.4118379564117425,0.21620765332493505,0.602100516319796
calc_width_0.2 s,0.1339567131453991,0.4678334133092519,-0.1475286631326586,-0.038554751737612185,0.20196892811976838,-0.0812771207048026,0.318101317555839,0.2341790568716583,-0.16973794412867016
calc_width_0.8 s,-0.060960700465539815,0.07442861408880812,0.5424754280812791,0.40283540104477766,0.25089750884212536,-0.05443676639640074,0.1571436310517507,0.11327011031429224,-0.22202407208504937
calc_rise_time_0.2_0.8 s,0.26617238380479996,0.11536316854486192,-0.241040310578001,-0.14577265766522904,-0.07458270599241308,-0.07199631885636645,-0.2002699858865481,0.7150457265392683,-0.302986352839224
calc_rise_time_0.8_max s,0.11582899601489993,-0.14384317117798107,0.38184081071124787,-0.25619211960789473,0.6145369377701883,0.033817587685854855,0.02672860338275109,0.010001981952882967,-0.12950727209456922
calc_decay_time_max_0.8 s,-0.16659657276876408,0.21568039260986285,0.14001287950442068,0.6137692138451549,-0.33586862371226095,-0.072706408826065,0.09028531805517333,0.10788196734838598,-0.09138059353369121
calc_decay_time_0.2_0.8 s,0.0010758966566285773,0.45537974157501576,-0.2442720959379486,-0.12014069520860637,0.19111132153534596,-0.025176123551636082,0.4616177519823024,-0.26493064662068755,0.09279106140025613
local_frequency[Hz],0.18822002765947302,-0.3944847442764131,-0.0016306875654754673,0.047757666304123016,-0.029959343447061675,-0.25532633041817054,0.28286712522912705,0.25926009365824043,0.39402205190039585
