,duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
duration,0.0077426368268112,1.49245468832327,0.0935626175414793,-0.188683176388065,-1.06858743707538,-0.101130787196094,0.150614553274994,0.251428506649599,-0.439199782430151,-0.115023814280147,0.0,0.951329403374863,-0.998059309837143,0.247116449832758,0.115483087874167,0.541263860086922,-0.547458638816476,-0.0232255826733649
force_peak_amplitude,0.0,3.59381366380463,0.0,0.0,0.0,-0.0503676680125994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0501410136523679,0.0,0.0,0.0,0.0095724920428666
force_width_0.5 s,0.0001473950782058,-0.114517529273973,0.001,0.671553650652961,0.523349485880642,0.0044024591472665,0.0635041735959229,0.0110603345431722,-0.041803847257253,-0.0392286232692191,-0.0892095501444561,-0.137704629941992,0.0515430517100442,-0.0558189036848439,0.0022661963294258,0.0101779069109344,0.0726014536908438,-0.0218079788278699
force_width_0.2 s,-0.001416909681288,0.110675053424317,0.804623882979455,0.464158883361278,-0.207159146037956,0.0370698019975638,-0.0374964466123489,0.0,0.150770529236752,0.0,0.125651333675431,-0.108305143780809,0.0246655009799637,0.0848692128277448,0.0023405353516024,-0.0057243346830925,0.114671593444688,-0.0158520902777214
force_width_0.8 s,-0.0114857842029396,0.363849739083676,0.851137233504741,-0.296326829111302,0.0077426368268112,0.0015543303830424,-0.0435712726009699,0.0284694851825767,-0.0124869915732732,0.0520015636608718,0.096318228218592,0.276147529955708,-0.10112396104377,0.0324184761776194,-0.0105417366424722,-0.0182414065371375,-0.151280197574613,0.0360494951800081
force_rise_time_0.2_0.8 s,-0.0271464734245268,-1.33194758634799,0.147225231889761,1.3387104052181,0.0353426775317263,0.0077426368268112,0.151963636931303,-0.0455871457387771,0.362706257975856,-0.199663777593627,-0.569746695744539,0.838095977420304,-0.237978000126777,0.0451531178185101,0.119638111841945,0.082314593851992,-0.611004591879898,-0.142821411360296
force_rise_time_0.8_max s,0.0431954036041316,0.506911493031525,2.86185016478539,-1.34106057032656,-1.22780560093502,0.166471080026404,0.001,-0.351135310558561,0.113636231531119,0.143878095585236,0.189005589574251,-0.357430201382153,0.088514353663228,0.144653907815669,-0.0775698578160611,-0.205464946845665,0.471111409746216,0.164645083632427
force_decay_time_max_0.8 s,0.0446345036371558,0.211447006636165,0.273705201352948,0.274231627300832,0.452270069419544,0.0,-0.205585684166335,0.001,0.000190150430486,0.061937894684243,-0.291885543108674,-0.37732793459973,0.374731403574702,0.0518912242298829,-0.0727476459893418,-0.148818797281071,0.328425447345734,-0.0710342436089455
force_decay_time_0.2_0.8 s,-0.0142739678656977,0.308590577073888,-0.270587940533993,0.759833063986159,-0.0184627202793627,0.0513197331722595,0.0145015941974393,0.0013660264090194,0.0077426368268112,0.0917080905849869,0.0984771168607144,0.122781350066835,0.0826784743676622,0.0029076892204968,-0.0238647467691344,-0.0570557912767432,-0.0629781965176794,-0.0412310336961181
calc_peak_amplitude,-0.0636523046285675,0.673333405816015,-1.12771483645359,-0.0727837953110632,0.63970869446439,-0.062794126990789,0.0967443331092826,0.090126795980331,0.116777831680769,0.0077426368268112,-0.111681917307477,-0.128944307142196,-0.0211769288490429,-0.0075352809942689,0.0155977132649046,-0.071102910104247,0.0,-0.0943361767493834
