drug,bct_id,concentration.um.,frequency[Hz],duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
baseline,1.17b_B02,0.0,0.36,0.457,4.336,0.29,0.42,0.17,0.11,0.08,0.09,0.14,1.32,0.57,0.97,0.29,0.11,0.1,0.2,0.57,0.3526983458313995
baseline,1.17b_B02,0.0,0.36,0.46,4.339,0.29,0.42,0.17,0.11,0.08,0.1,0.14,1.319,0.56,0.94,0.29,0.1,0.11,0.18,0.55,0.31684729457317923
baseline,1.17b_B02,0.0,0.36,0.428,4.356,0.29,0.42,0.17,0.1,0.08,0.1,0.14,1.292,0.58,0.97,0.3,0.1,0.1,0.2,0.57,0.3010935020326529
baseline,1.17b_B02,0.0,0.36,0.476,4.334,0.29,0.42,0.17,0.1,0.08,0.09,0.14,1.274,0.56,0.95,0.31,0.1,0.09,0.22,0.55,0.3172323339609585
baseline,1.17b_B02,0.0,0.36,0.46,4.32,0.29,0.42,0.17,0.1,0.08,0.09,0.14,1.274,0.55,0.98,0.29,0.11,0.11,0.18,0.58,0.3408772088472141
baseline,1.17b_B02,0.0,0.36,0.471,4.301,0.29,0.41,0.17,0.11,0.08,0.09,0.14,1.256,0.55,0.95,0.3,0.1,0.13,0.17,0.55,0.39180463501456353
baseline,1.17b_B02,0.0,0.36,0.445,4.272,0.29,0.41,0.17,0.11,0.09,0.09,0.14,1.211,0.57,0.95,0.32,0.1,0.11,0.2,0.53,0.386185717936103
baseline,1.17b_B02,0.0,0.36,0.424,4.309,0.29,0.41,0.17,0.1,0.08,0.1,0.14,1.212,0.55,0.97,0.31,0.1,0.1,0.2,0.56,0.335999559633309
baseline,1.17b_B02,0.0,0.36,0.437,4.305,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.187,0.56,0.91,0.3,0.1,0.1,0.19,0.52,0.3593112692916998
baseline,1.17b_B02,0.0,0.36,0.434,4.265,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.168,0.56,0.97,0.29,0.1,0.1,0.19,0.58,0.35371265405011215
baseline,1.17b_B02,0.0,0.36,0.419,4.293,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.148,0.55,0.94,0.3,0.1,0.11,0.19,0.54,0.33478527949963716
baseline,1.17b_B02,0.0,0.36,0.417,4.265,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.124,0.55,0.95,0.28,0.1,0.1,0.18,0.57,0.356004035303839
baseline,1.17b_B02,0.0,0.36,0.433,4.258,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.089,0.57,0.96,0.31,0.1,0.09,0.21,0.55,0.30809865668615677
baseline,1.17b_B02,0.0,0.36,0.424,4.286,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.051,0.56,0.92,0.29,0.1,0.08,0.21,0.53,0.29891984359211654
baseline,1.17b_B02,0.0,0.36,0.441,4.239,0.29,0.41,0.17,0.11,0.08,0.09,0.14,1.016,0.55,0.93,0.29,0.1,0.11,0.19,0.54,0.34921477698795256
baseline,1.17b_B02,0.0,0.36,0.436,4.221,0.29,0.41,0.17,0.1,0.08,0.1,0.13,1.001,0.55,0.94,0.29,0.1,0.09,0.19,0.55,0.3534262774825535
baseline,1.17b_B02,0.0,0.36,0.428,4.227,0.29,0.41,0.17,0.1,0.08,0.09,0.13,0.984,0.56,0.95,0.29,0.1,0.11,0.18,0.56,0.38154555700163545
baseline,1.17b_B02,0.0,0.36,0.504,4.194,0.29,0.41,0.17,0.1,0.08,0.09,0.13,0.945,0.56,0.93,0.3,0.1,0.11,0.2,0.53,0.41040699170496275
