drug,bct_id,concentration.um.,frequency[Hz],duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
ca_titration,1.13b_B19,0.4,0.63,0.613,0.878,0.28,0.4,0.17,0.11,0.08,0.09,0.12,0.398,0.53,0.92,0.28,0.14,0.15,0.14,0.49,0.6217073858914747
ca_titration,1.13b_B19,0.4,0.63,0.641,0.874,0.28,0.39,0.17,0.11,0.08,0.09,0.12,0.377,0.49,0.81,0.27,0.12,0.15,0.12,0.42,0.6271697240453213
ca_titration,1.13b_B19,0.4,0.63,0.64,0.871,0.28,0.4,0.17,0.11,0.08,0.08,0.12,0.373,0.47,0.8,0.27,0.14,0.1,0.17,0.39,0.6251373807535059
ca_titration,1.13b_B19,0.4,0.63,0.648,0.878,0.28,0.4,0.17,0.11,0.08,0.09,0.12,0.358,0.52,0.76,0.27,0.15,0.16,0.1,0.34,0.6212162872703243
ca_titration,1.13b_B19,0.4,0.63,0.633,0.875,0.28,0.4,0.17,0.11,0.08,0.08,0.12,0.36,0.5,0.76,0.29,0.13,0.09,0.2,0.35,0.6210241103137827
ca_titration,1.13b_B19,0.4,0.63,0.652,0.876,0.28,0.39,0.17,0.11,0.08,0.09,0.12,0.357,0.48,0.73,0.3,0.12,0.09,0.2,0.31,0.6192912830173628
ca_titration,1.13b_B19,0.4,0.63,0.626,0.877,0.28,0.4,0.17,0.11,0.09,0.08,0.12,0.374,0.47,0.79,0.25,0.14,0.12,0.13,0.4,0.6170036028518262
ca_titration,1.13b_B19,0.4,0.63,0.633,0.878,0.28,0.39,0.17,0.11,0.08,0.09,0.12,0.359,0.47,0.78,0.24,0.14,0.13,0.11,0.4,0.6152899699500743
ca_titration,1.13b_B19,0.4,0.63,0.649,0.876,0.28,0.39,0.17,0.11,0.09,0.08,0.12,0.358,0.48,0.79,0.28,0.12,0.1,0.18,0.39,0.6150063826769419
ca_titration,1.13b_B19,0.4,0.63,0.648,0.879,0.28,0.39,0.17,0.11,0.09,0.08,0.12,0.353,0.47,0.81,0.28,0.11,0.16,0.12,0.41,0.6705541766918626
ca_titration,1.13b_B19,0.4,0.63,0.639,0.823,0.28,0.4,0.17,0.11,0.09,0.08,0.12,0.333,0.48,0.71,0.26,0.12,0.12,0.14,0.33,0.655808855364338
ca_titration,1.13b_B19,0.4,0.63,0.628,0.907,0.28,0.39,0.17,0.11,0.09,0.08,0.12,0.328,0.49,0.8,0.28,0.12,0.21,0.07,0.4,0.595874789447222
ca_titration,1.13b_B19,0.4,0.63,0.644,0.887,0.28,0.39,0.17,0.11,0.09,0.08,0.12,0.325,0.47,0.81,0.24,0.13,0.1,0.14,0.43,0.6102428068152811
ca_titration,1.13b_B19,0.4,0.63,0.604,0.876,0.28,0.39,0.17,0.11,0.09,0.08,0.12,0.327,0.5,0.75,0.25,0.15,0.11,0.15,0.35,0.674043966326197
ca_titration,1.13b_B19,0.4,0.63,0.643,0.815,0.28,0.4,0.17,0.1,0.08,0.09,0.12,0.297,0.52,0.79,0.28,0.16,0.13,0.16,0.35,0.6561245363414907
ca_titration,1.13b_B19,0.4,0.63,0.621,0.912,0.27,0.39,0.16,0.1,0.09,0.08,0.12,0.293,0.5,0.85,0.27,0.14,0.1,0.17,0.45,0.5950148930600461
ca_titration,1.13b_B19,0.4,0.63,0.605,0.884,0.28,0.39,0.17,0.11,0.08,0.08,0.12,0.291,0.42,0.78,0.25,0.13,0.11,0.13,0.41,0.6108756008000714
ca_titration,1.13b_B19,0.4,0.63,0.628,0.881,0.28,0.39,0.17,0.11,0.08,0.08,0.12,0.286,0.48,0.78,0.27,0.12,0.13,0.14,0.39,0.6527041357370095
ca_titration,1.13b_B19,0.4,0.63,0.604,0.832,0.28,0.4,0.17,0.1,0.08,0.09,0.12,0.285,0.45,0.73,0.25,0.14,0.12,0.14,0.34,0.6367599211085011
ca_titration,1.13b_B19,0.4,0.63,0.636,0.9,0.28,0.39,0.17,0.11,0.09,0.08,0.12,0.284,0.46,0.81,0.23,0.13,0.11,0.11,0.45,0.5932551975116871
ca_titration,1.13b_B19,0.4,0.63,0.639,0.878,0.28,0.39,0.17,0.11,0.08,0.09,0.12,0.267,0.48,0.84,0.26,0.15,0.11,0.15,0.43,0.6815375082107079
ca_titration,1.13b_B19,0.4,0.63,0.637,0.795,0.28,0.4,0.17,0.11,0.09,0.08,0.12,0.257,0.43,0.73,0.22,0.16,0.12,0.1,0.35,0.6741282588652512
ca_titration,1.13b_B19,0.4,0.63,0.625,0.909,0.27,0.39,0.16,0.11,0.08,0.08,0.12,0.238,0.5,0.78,0.3,0.13,0.22,0.09,0.35,0.605078523875577
ca_titration,1.13b_B19,0.4,0.63,0.657,0.879,0.28,0.39,0.17,0.1,0.08,0.09,0.12,0.251,0.47,0.88,0.26,0.15,0.09,0.17,0.47,0.6121177776424804
ca_titration,1.13b_B19,0.4,0.63,0.649,0.88,0.28,0.39,0.17,0.11,0.09,0.08,0.12,0.235,0.47,0.76,0.31,0.12,0.09,0.22,0.33,0.6084580669285364
ca_titration,1.13b_B19,0.4,0.63,0.628,0.877,0.28,0.39,0.17,0.11,0.08,0.08,0.12,0.205,0.49,0.78,0.3,0.12,0.15,0.15,0.36,0.6084580669285364
ca_titration,1.13b_B19,0.4,0.63,0.595,0.874,0.28,0.39,0.17,0.11,0.08,0.09,0.12,0.196,0.53,0.81,0.29,0.1,0.13,0.16,0.42,0.6092948792315356
