,duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
duration,0.001,-0.679192682933724,-0.151280491320907,-0.0461262829028682,0.0848988148619424,0.0701805961031954,0.115933971574049,0.16398382349312,0.174542571266667,0.0775572269002742,0.0836047018969116,-0.0187940119674467,-0.121945743269865,-0.14856295893731,-0.0850358809951614,-0.0297863924749899,0.0001993977798474,-0.345648156252693
force_peak_amplitude,0.0,27.8255940220713,0.0,0.0,0.0,0.0172585605675545,0.0,0.0,0.0730835735800017,0.137165991077479,0.0414246738504001,-0.181508050508721,0.0247743126450738,0.0,0.0,0.0276364414543036,0.224357214560661,-0.102674095095986
force_width_0.5 s,-0.0046882579281855,-0.129593190875084,0.0599484250318941,0.437549181545757,0.3124435899767,0.0057435325564296,0.0545600777918809,0.029805402361312,0.0489779447288927,0.0,0.0684882845436801,-0.188943019844294,0.0498276151589574,0.0221412002885692,-0.0005940220045355,-0.0112824957577537,0.208101936145636,0.0567477337033424
force_width_0.2 s,-0.0016999549743378,-0.10116804610807,0.463346019045944,0.464158883361278,0.073177899613281,0.077234856170013,0.0461239701973115,0.0351335464779627,0.199252832156586,-0.0436324042287672,0.0779830620564454,0.0393423358526834,0.0101393051222678,0.0634721271697797,-0.0100744812728716,0.0075292022433101,0.0,-0.0679273436010193
force_width_0.8 s,0.0057782805085597,-0.236850698002339,0.49486370597102,0.0728002951880867,0.0599484250318941,0.0,0.0531667887676679,0.0910237767214489,0.200357260468455,0.107140016251745,-0.0514796596711289,0.212164788682162,0.0497993796034726,-0.0168620466496741,-0.110777556496815,-0.0839093605555903,-0.191847923032193,0.0184078419769656
force_rise_time_0.2_0.8 s,-0.0106408031176278,2.19953494694929,0.3739720802822,0.744795494549364,-0.0617851754427683,0.0599484250318941,0.0592598351025306,-0.0327069941998232,0.0071610975080571,-0.0627921557629042,-0.0530605191243198,0.035408191172071,0.125378540329374,0.0355823183359782,0.0116144055583297,-0.0880852011253192,0.0370404508176533,-0.0446329580496254
force_rise_time_0.8_max s,0.04265929555069,-0.222377632110234,0.41839142433817,0.334657470251398,0.266370076557967,0.0153953640966445,0.0599484250318941,-0.539467687302666,-0.0471633707598192,-0.0140896075845713,0.0580716287576022,0.0879894067616818,-0.0306824641587001,-0.0235727301095159,0.0,0.0055037207595938,-0.139418703749384,-0.0290192519630766
force_decay_time_max_0.8 s,0.0539805895718563,-0.279737174120114,0.20665722736051,0.20815241121491,0.314504038716795,-0.0902876485666622,-0.461003627077313,0.464158883361278,0.168000638841468,-0.0502641581342113,0.073582308359791,0.0042336601420627,-0.187663970101416,-0.0528264988903946,0.207405663723746,0.207958082920119,0.0,0.0328637737188394
force_decay_time_0.2_0.8 s,0.0,0.565553063206596,0.133399391651652,0.281677410440207,0.22640908577514,-0.0753507564190485,0.0,0.067434894321045,3.59381366380463,0.0048626508585519,0.0120759592742356,0.0653459953945246,0.0,-0.0387654864289726,0.0300242634504303,0.0,-0.082974503863052,0.0559924260904498
calc_peak_amplitude,0.0166145726638497,0.844784519594359,0.122885406820574,-0.14767670252148,0.168540373097078,0.0378836947951471,0.0,-0.057436365007771,0.0240475883615927,0.0077426368268112,0.0620720712566832,-0.32152768523003,-0.0403544939534352,0.109891773634088,0.138732591556064,0.184511181095817,0.354194118450303,0.105596022905133
