drug,bct_id,concentration.um.,frequency[Hz],duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
e4031,1.17b_B02,0.0,0.36,0.457,4.336,0.29,0.42,0.17,0.11,0.08,0.09,0.14,1.32,0.57,0.97,0.29,0.11,0.1,0.2,0.57,0.3526983458313995
e4031,1.17b_B02,0.0,0.36,0.46,4.339,0.29,0.42,0.17,0.11,0.08,0.1,0.14,1.319,0.56,0.94,0.29,0.1,0.11,0.18,0.55,0.31684729457317923
e4031,1.17b_B02,0.0,0.36,0.428,4.356,0.29,0.42,0.17,0.1,0.08,0.1,0.14,1.292,0.58,0.97,0.3,0.1,0.1,0.2,0.57,0.3010935020326529
e4031,1.17b_B02,0.0,0.36,0.476,4.334,0.29,0.42,0.17,0.1,0.08,0.09,0.14,1.274,0.56,0.95,0.31,0.1,0.09,0.22,0.55,0.3172323339609585
e4031,1.17b_B02,0.0,0.36,0.46,4.32,0.29,0.42,0.17,0.1,0.08,0.09,0.14,1.274,0.55,0.98,0.29,0.11,0.11,0.18,0.58,0.3408772088472141
e4031,1.17b_B02,0.0,0.36,0.471,4.301,0.29,0.41,0.17,0.11,0.08,0.09,0.14,1.256,0.55,0.95,0.3,0.1,0.13,0.17,0.55,0.39180463501456353
e4031,1.17b_B02,0.0,0.36,0.445,4.272,0.29,0.41,0.17,0.11,0.09,0.09,0.14,1.211,0.57,0.95,0.32,0.1,0.11,0.2,0.53,0.386185717936103
e4031,1.17b_B02,0.0,0.36,0.424,4.309,0.29,0.41,0.17,0.1,0.08,0.1,0.14,1.212,0.55,0.97,0.31,0.1,0.1,0.2,0.56,0.335999559633309
e4031,1.17b_B02,0.0,0.36,0.437,4.305,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.187,0.56,0.91,0.3,0.1,0.1,0.19,0.52,0.3593112692916998
e4031,1.17b_B02,0.0,0.36,0.434,4.265,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.168,0.56,0.97,0.29,0.1,0.1,0.19,0.58,0.35371265405011215
e4031,1.17b_B02,0.0,0.36,0.419,4.293,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.148,0.55,0.94,0.3,0.1,0.11,0.19,0.54,0.33478527949963716
e4031,1.17b_B02,0.0,0.36,0.417,4.265,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.124,0.55,0.95,0.28,0.1,0.1,0.18,0.57,0.356004035303839
e4031,1.17b_B02,0.0,0.36,0.433,4.258,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.089,0.57,0.96,0.31,0.1,0.09,0.21,0.55,0.30809865668615677
e4031,1.17b_B02,0.0,0.36,0.424,4.286,0.29,0.41,0.17,0.1,0.08,0.09,0.14,1.051,0.56,0.92,0.29,0.1,0.08,0.21,0.53,0.29891984359211654
e4031,1.17b_B02,0.0,0.36,0.441,4.239,0.29,0.41,0.17,0.11,0.08,0.09,0.14,1.016,0.55,0.93,0.29,0.1,0.11,0.19,0.54,0.34921477698795256
e4031,1.17b_B02,0.0,0.36,0.436,4.221,0.29,0.41,0.17,0.1,0.08,0.1,0.13,1.001,0.55,0.94,0.29,0.1,0.09,0.19,0.55,0.3534262774825535
e4031,1.17b_B02,0.0,0.36,0.428,4.227,0.29,0.41,0.17,0.1,0.08,0.09,0.13,0.984,0.56,0.95,0.29,0.1,0.11,0.18,0.56,0.38154555700163545
e4031,1.17b_B02,0.0,0.36,0.504,4.194,0.29,0.41,0.17,0.1,0.08,0.09,0.13,0.945,0.56,0.93,0.3,0.1,0.11,0.2,0.53,0.41040699170496275
e4031,1.17b_B02,0.0,0.36,0.457,4.202,0.29,0.41,0.17,0.1,0.08,0.09,0.13,0.961,0.55,0.95,0.29,0.1,0.1,0.19,0.56,0.3800554821322512
e4031,1.17b_B02,0.003,0.23,0.436,3.706,0.24,0.35,0.14,0.09,0.07,0.07,0.11,1.123,0.48,0.8,0.26,0.1,0.09,0.17,0.44,0.22466165924198173
e4031,1.17b_B02,0.003,0.23,0.432,3.7,0.24,0.35,0.14,0.1,0.07,0.07,0.11,1.13,0.49,0.88,0.27,0.11,0.11,0.17,0.5,0.22510378101976306
e4031,1.17b_B02,0.003,0.23,0.433,3.702,0.24,0.35,0.14,0.09,0.07,0.07,0.11,1.129,0.48,0.77,0.26,0.1,0.1,0.16,0.42,0.1952488556364014
e4031,1.17b_B02,0.003,0.23,0.42,3.698,0.24,0.35,0.14,0.09,0.07,0.07,0.11,1.111,0.47,0.82,0.26,0.1,0.1,0.16,0.46,0.19592964479662842
e4031,1.17b_B02,0.003,0.23,0.419,3.693,0.24,0.35,0.14,0.09,0.07,0.07,0.11,1.118,0.48,0.81,0.26,0.1,0.11,0.15,0.45,0.20153444189393355
e4031,1.17b_B02,0.003,0.23,0.416,3.694,0.24,0.35,0.14,0.09,0.07,0.07,0.11,1.103,0.46,0.82,0.26,0.09,0.09,0.17,0.47,0.19787641679719947
e4031,1.17b_B02,0.003,0.23,0.419,3.681,0.24,0.35,0.14,0.09,0.06,0.08,0.11,1.1,0.46,0.82,0.24,0.1,0.09,0.15,0.48,0.21013556011356263
e4031,1.17b_B02,0.003,0.23,0.445,3.674,0.24,0.35,0.14,0.09,0.07,0.07,0.11,1.078,0.48,0.82,0.26,0.1,0.11,0.16,0.46,0.220316475611712
e4031,1.17b_B02,0.003,0.23,0.444,3.708,0.24,0.35,0.14,0.1,0.07,0.07,0.11,1.095,0.48,0.8,0.25,0.1,0.1,0.16,0.45,0.2139696216472293
e4031,1.17b_B02,0.003,0.23,0.445,3.686,0.24,0.35,0.14,0.09,0.07,0.07,0.11,1.063,0.48,0.8,0.27,0.1,0.11,0.16,0.43,0.23280603009574674
e4031,1.17b_B02,0.003,0.23,0.44,3.678,0.24,0.35,0.14,0.09,0.07,0.07,0.11,1.079,0.46,0.77,0.25,0.1,0.09,0.15,0.42,0.22391113644605676
e4031,1.17b_B02,0.01,0.23,0.454,3.894,0.24,0.35,0.14,0.1,0.07,0.07,0.11,1.056,0.47,0.77,0.25,0.09,0.11,0.14,0.42,0.2037513604943047
e4031,1.17b_B02,0.01,0.23,0.45,3.881,0.24,0.35,0.14,0.1,0.07,0.07,0.11,1.04,0.46,0.77,0.25,0.09,0.1,0.15,0.44,0.17878062939685288
e4031,1.17b_B02,0.01,0.23,0.447,3.919,0.24,0.34,0.14,0.1,0.07,0.07,0.11,1.06,0.46,0.79,0.24,0.09,0.09,0.15,0.45,0.19657256889143093
e4031,1.17b_B02,0.01,0.23,0.459,3.884,0.24,0.34,0.14,0.1,0.07,0.07,0.11,1.026,0.47,0.79,0.25,0.1,0.1,0.15,0.44,0.2688525837502422
e4031,1.17b_B02,0.01,0.23,0.456,3.874,0.24,0.34,0.14,0.1,0.07,0.07,0.11,1.051,0.46,0.78,0.24,0.1,0.09,0.14,0.44,0.22124374916533512
