"","duration","force_peak_amplitude","force_width_0.5.s","force_width_0.2.s","force_width_0.8.s","force_rise_time_0.2_0.8.s","force_rise_time_0.8_max.s","force_decay_time_max_0.8.s","force_decay_time_0.2_0.8.s","calc_peak_amplitude","calc_width_0.5.s","calc_width_0.2.s","calc_width_0.8.s","calc_rise_time_0.2_0.8.s","calc_rise_time_0.8_max.s","calc_decay_time_max_0.8.s","calc_decay_time_0.2_0.8.s","local_frequency.Hz."
"duration",0.001,-0.176666295815585,-0.464912377590206,1.06314837919479,0.0113347591688584,-0.0120028413296711,0.126638319304938,0.13239686003351,-0.532554297676089,0.0511167622008294,-0.175836380344556,0.484726563600807,-0.22867942050737,0.0146263950626202,0.0727138426170503,0.186950660640993,-0.60245421175535,0.142711083547953
"force_peak_amplitude",0.0165503090468243,0.00774263682681127,0.338640706849988,-0.805652170772076,1.23481982246184,-0.224913180791758,0.00510514775765179,-0.0339138110200748,0.308948755478854,0.0587564000240464,0.0851720064387846,-0.413012661768611,-0.0700018767736101,-0.0113975217604802,0.0519792134457559,0.0330995300350243,0.0795818422950683,0.284243069261254
"force_width_0.5.s",0,0.284357932073405,3.59381366380463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"force_width_0.2.s",0.023927353775294,-0.116642063686342,0.188521167802944,0.0599484250318941,0.415187883940195,-0.000527118552668747,0.0135951314249559,0.0245814271541818,0.269585322719244,0.00565196536683326,0.183438024681341,-0.460338853198877,0.0634003042577902,0.0159210689873508,0.0137155493194683,0.0295971915486801,0.36928208657189,0.0212975268699884
"force_width_0.8.s",-0.0138204592544528,0.242327781655758,0.113244231649202,0.564499837027621,0.001,0.0118462753264744,0.0135932875086972,0.0430670161050095,0.0767746545363509,-0.0206689859129848,-0.00435160236466654,0.410147181282242,-0.0882248357203919,-0.0100113258285691,-0.0100345330090651,-0.00511531649451222,-0.240300306237288,0.0339481175813017
"force_rise_time_0.2_0.8.s",-0.0179231306367175,-1.02615891720612,0.760952957200413,0.147939095220234,-0.230228613073286,0.00774263682681127,0.0959688414413138,0.0921683816910287,0,0.108925200835493,0.439191163270474,-0.146399349344147,-0.263356654315232,0.0169278868576554,0.114509485665864,0.0832587612767365,0.135167983374248,0.378296589030437
"force_rise_time_0.8_max.s",0.14472704964357,0.000966328935724447,0.541056655784969,0.529050989175536,0.305024862145771,0.108232221502544,0.00774263682681127,-0.601993341003068,0.0849604029860686,0,-0.225931211435491,-1.08885674672672,0.534606824062089,0.110431342953455,-0.134298501107141,-0.258054206048559,0.871402708525443,0.0532510549627633
"force_decay_time_max_0.8.s",0.0620274876208639,-0.0681687607717981,0.374103588968122,0.310176261369868,0.392911677068893,0.0161079501260165,-0.177829356413253,0.0599484250318941,0.0159830365710784,0.0158592865791098,-0.202245917751147,0.011318173904101,0.243117680606081,0.0240043880843237,-0.143258711632587,-0.194691517607698,0.226485604395542,0.100323535083415
"force_decay_time_0.2_0.8.s",-0.0714234035544581,0.0975551278260526,-0.115597883139185,0.834654773983929,0.116182119403959,0.0181205419353768,0.000652671707950878,0,0.001,0.0201192803937109,-0.0979772457148568,0.190127336508848,0.0672592538175323,0.0240606886427272,-0.0152291085057202,-0.0108164876141044,-0.19843069118416,-0.0687289793151135
"calc_peak_amplitude",0.124977210227329,0.658103529872138,0.0703868931033632,0.259915985213155,-0.736122251986436,0.222010527262683,0.00122595402221203,0.0957134067815153,0.264039280351642,0.00774263682681127,-0.69908078465082,0.209345131493253,0.713628515390879,0.123971076715683,-0.272560119560549,-0.349167172231128,-0.130926990130575,-0.24318131716289
