drug,bct_id,concentration.um.,frequency[Hz],duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
nifedipine,1.28b_B02,0.0,0.45,0.436,3.364,0.24,0.35,0.14,0.1,0.07,0.06,0.11,0.903,0.48,0.79,0.23,0.11,0.09,0.14,0.45,0.4667074420064943
nifedipine,1.28b_B02,0.0,0.45,0.609,3.407,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.881,0.49,0.82,0.25,0.11,0.09,0.16,0.45,0.47781143624496425
nifedipine,1.28b_B02,0.0,0.45,0.417,3.372,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.912,0.47,0.82,0.22,0.11,0.1,0.12,0.49,0.46476308144816697
nifedipine,1.28b_B02,0.0,0.45,0.432,3.434,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.904,0.46,0.78,0.23,0.11,0.09,0.14,0.43,0.4573754898635253
nifedipine,1.28b_B02,0.0,0.45,0.515,3.38,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.902,0.45,0.76,0.23,0.11,0.09,0.13,0.42,0.456206286574236
nifedipine,1.28b_B02,0.0,0.45,0.425,3.436,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.889,0.45,0.78,0.25,0.11,0.08,0.17,0.43,0.4711554858511932
nifedipine,1.28b_B02,0.0,0.45,0.413,3.357,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.876,0.48,0.83,0.26,0.1,0.1,0.16,0.47,0.4507693024181008
nifedipine,1.28b_B02,0.0,0.45,0.432,3.462,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.882,0.47,0.78,0.25,0.1,0.1,0.14,0.44,0.4850995268105028
nifedipine,1.28b_B02,0.0,0.45,0.417,3.312,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.859,0.48,0.75,0.25,0.11,0.11,0.14,0.4,0.4790675848993234
nifedipine,1.28b_B02,0.0,0.45,0.442,3.473,0.24,0.35,0.14,0.1,0.07,0.07,0.11,0.858,0.49,0.81,0.27,0.11,0.1,0.17,0.43,0.3914429862300141
