,duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
duration,0.0599484250318941,-0.198133710365087,0.328052230766608,0.136824966180947,0.227728753908726,-0.104273294571175,-0.254701202875349,-0.301104645637169,0.121456369220031,0.0013777023358668,0.0185109271949682,-1.2372011630877,0.45259165581008,0.238164974086874,0.057163679157348,0.106755713218324,0.865658617023557,-0.158825120971949
force_peak_amplitude,0.0,215.443469003188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
force_width_0.5 s,0.0044883824244052,-0.0058844337429021,0.0599484250318941,0.368294486653345,0.296021282156358,0.147759598156212,0.0502729316432101,0.0249320914017267,0.0974753404912309,0.0275975040103726,0.0330123462768184,0.0092998028850186,-0.0676362368943912,0.0059142911637115,0.0199601675965652,0.04690190830746,0.0,0.0133519559630312
force_width_0.2 s,0.0016576575156505,0.0242395931487405,0.438886288454166,0.0077426368268112,0.0334206164152614,0.146280856011679,0.0182545071351844,0.0268657750006965,0.177526660836301,0.0675450346120893,0.0642105894311764,-0.080290202281889,0.0964391448715286,0.0375607055905023,-0.0202355729893804,-0.0203406104605501,0.0585896964710047,0.0118603128965821
force_width_0.8 s,0.006865006794382,0.128145476959182,0.755593948201999,0.0768332605855177,0.0599484250318941,0.064241889425375,-0.0168759225164646,0.0206464301477239,-0.0374480008938739,0.0653612043699582,-0.0226660509855773,0.187312833611526,-0.107357474566026,-0.0420534626392657,0.0119392872878557,0.0194108036465488,-0.145452414338784,0.0327932942896319
force_rise_time_0.2_0.8 s,-0.0057977548698439,0.108873010727352,0.600168439207251,0.479997979310091,0.0920812991001853,0.0599484250318941,0.0,-0.0062139389739394,-0.262496831362788,-0.0699090282537321,-0.0307853794325407,0.14782549224252,0.0350219026169874,-0.0348291782276998,-0.0130810699513859,-0.0803089291573635,-0.10154605890645,-0.0397651569667716
force_rise_time_0.8_max s,-0.0491304866944196,0.192019315630089,0.8465574660086,0.267133634911017,-0.116436123877846,0.0224595315480706,0.001,-0.502939601104081,0.0361015075824573,0.11518532801201,0.0654735339391359,-0.102338903964211,-0.0453898768479737,0.0593731131281121,-0.0163055765154935,0.0163951157833154,0.0703003399276523,0.0527996336177433
force_decay_time_max_0.8 s,-0.0621918542255471,0.151768675969108,0.429180903266294,0.421166899927904,0.172560006561321,-0.0068308766664669,-0.536583396438273,3.59381366380463,-0.0306091115504847,0.159654724054408,0.0259385587394846,-0.0159748839637692,0.0408447358387278,0.0431362454824225,0.0,0.0163595850123534,0.0,0.0087907816458868
force_decay_time_0.2_0.8 s,0.0079512555704039,0.0582626953521667,0.562861417223003,0.925383708606184,-0.0698548572812291,-0.408228618252287,0.0130264375118993,-0.0068524376637338,0.0599484250318941,-0.164485746986773,-0.0250077777000573,0.240731429047041,-0.0212352514434429,-0.0727298553633506,0.0,-0.0661246076893861,-0.166326795976212,-0.0208280128339526
calc_peak_amplitude,0.0230444893467381,0.91358557131113,0.0574619168874892,0.37693080989208,-0.157563825461774,-0.240153713443387,0.069026729125836,0.0736796877193177,-0.117967826260886,0.0077426368268112,-0.0122588508092376,-0.0828310059584738,-0.0020109890578911,-0.0547477492945096,-0.0057678834036203,0.0,0.0840880204949149,0.0743526268875764
