TSNE1,TSNE2,concentration,data_type,bct_id,drug,frequency[Hz]
16.677162,44.54229,0.0,Baseline,1.17b_B02,e4031,0.36
16.831196,43.810604,0.0,Baseline,1.17b_B02,e4031,0.36
16.1181,45.357285,0.0,Baseline,1.17b_B02,e4031,0.36
15.207423,45.63758,0.0,Baseline,1.17b_B02,e4031,0.36
16.348475,44.062836,0.0,Baseline,1.17b_B02,e4031,0.36
16.67754,43.17728,0.0,Baseline,1.17b_B02,e4031,0.36
16.983536,45.093864,0.0,Baseline,1.17b_B02,e4031,0.36
15.834216,45.202713,0.0,Baseline,1.17b_B02,e4031,0.36
14.775222,44.075523,0.0,Baseline,1.17b_B02,e4031,0.36
15.94621,44.547016,0.0,Baseline,1.17b_B02,e4031,0.36
15.663602,44.273464,0.0,Baseline,1.17b_B02,e4031,0.36
15.410447,43.5086,0.0,Baseline,1.17b_B02,e4031,0.36
15.046818,45.309093,0.0,Baseline,1.17b_B02,e4031,0.36
14.354597,44.90498,0.0,Baseline,1.17b_B02,e4031,0.36
15.880719,43.184258,0.0,Baseline,1.17b_B02,e4031,0.36
14.7891865,44.501747,0.0,Baseline,1.17b_B02,e4031,0.36
15.822057,43.753803,0.0,Baseline,1.17b_B02,e4031,0.36
15.242347,44.67191,0.0,Baseline,1.17b_B02,e4031,0.36
15.230427,43.986557,0.0,Baseline,1.17b_B02,e4031,0.36
13.883743,42.7837,0.0,Baseline,1.20b_B01,e4031,0.24
14.480796,41.060818,0.0,Baseline,1.20b_B01,e4031,0.24
12.477652,42.27944,0.0,Baseline,1.20b_B01,e4031,0.24
13.671249,41.809822,0.0,Baseline,1.20b_B01,e4031,0.24
14.07096,40.92228,0.0,Baseline,1.20b_B01,e4031,0.24
12.421255,42.273373,0.0,Baseline,1.20b_B01,e4031,0.24
13.265119,42.332787,0.0,Baseline,1.20b_B01,e4031,0.24
13.258359,40.842796,0.0,Baseline,1.20b_B01,e4031,0.24
13.070141,41.43605,0.0,Baseline,1.20b_B01,e4031,0.24
12.147187,41.7921,0.0,Baseline,1.20b_B01,e4031,0.24
11.964368,41.88537,0.0,Baseline,1.20b_B01,e4031,0.24
12.394599,41.117794,0.0,Baseline,1.20b_B01,e4031,0.24
7.823091,38.327286,4.0,Baseline,1.20b_B01,ca_titration,0.42
7.390494,37.500076,4.0,Baseline,1.20b_B01,ca_titration,0.42
6.884946,37.45082,4.0,Baseline,1.20b_B01,ca_titration,0.42
7.7669764,38.680622,4.0,Baseline,1.20b_B01,ca_titration,0.42
6.894546,38.10947,4.0,Baseline,1.20b_B01,ca_titration,0.42
6.435882,37.426323,4.0,Baseline,1.20b_B01,ca_titration,0.42
5.659812,37.285187,4.0,Baseline,1.20b_B01,ca_titration,0.42
7.076843,38.842934,4.0,Baseline,1.20b_B01,ca_titration,0.42
7.998594,39.528835,4.0,Baseline,1.20b_B01,ca_titration,0.42
7.5084543,39.289505,4.0,Baseline,1.20b_B01,ca_titration,0.42
5.4285297,37.874123,4.0,Baseline,1.20b_B01,ca_titration,0.42
6.4277534,39.125336,4.0,Baseline,1.20b_B01,ca_titration,0.42
6.5315742,39.143787,4.0,Baseline,1.20b_B01,ca_titration,0.42
5.884812,38.03908,4.0,Baseline,1.20b_B01,ca_titration,0.42
7.903136,39.810738,4.0,Baseline,1.20b_B01,ca_titration,0.42
6.708737,39.800003,4.0,Baseline,1.20b_B01,ca_titration,0.42
6.016357,38.5773,4.0,Baseline,1.20b_B01,ca_titration,0.42
5.2183967,38.13923,4.0,Baseline,1.20b_B01,ca_titration,0.42
5.8401093,39.075806,4.0,Baseline,1.20b_B01,ca_titration,0.42
5.9822273,39.913456,4.0,Baseline,1.20b_B01,ca_titration,0.42
4.8736744,38.635498,4.0,Baseline,1.20b_B01,ca_titration,0.42
5.4121847,39.355022,4.0,Baseline,1.20b_B01,ca_titration,0.42
8.74677,17.882992,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.277034,20.167854,0.0,Baseline,1.28b_B02,nifedipine,0.45
12.642868,16.972921,0.0,Baseline,1.28b_B02,nifedipine,0.45
9.104548,17.4345,0.0,Baseline,1.28b_B02,nifedipine,0.45
8.761583,16.876984,0.0,Baseline,1.28b_B02,nifedipine,0.45
8.5921755,20.376059,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.906769,20.73743,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.210592,17.838196,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.0941105,16.563585,0.0,Baseline,1.28b_B02,nifedipine,0.45
9.890233,21.66927,0.0,Baseline,1.28b_B02,nifedipine,0.45
9.763129,21.65831,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.079013,18.730995,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.508777,19.611954,0.0,Baseline,1.28b_B02,nifedipine,0.45
11.254841,16.82599,0.0,Baseline,1.28b_B02,nifedipine,0.45
6.4717846,21.587074,0.0,Baseline,1.28b_B02,nifedipine,0.45
7.228669,21.768429,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.558919,21.283682,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.971573,16.81791,0.0,Baseline,1.28b_B02,nifedipine,0.45
9.190768,21.765997,0.0,Baseline,1.28b_B02,nifedipine,0.45
10.632323,17.421928,0.0,Baseline,1.28b_B02,nifedipine,0.45
9.530287,18.351519,0.0,Baseline,1.28b_B02,nifedipine,0.45
7.626468,21.273201,0.0,Baseline,1.28b_B02,nifedipine,0.45
8.499428,18.053185,0.0,Baseline,1.28b_B02,nifedipine,0.45
9.252849,21.08989,0.0,Baseline,1.28b_B02,nifedipine,0.45
-7.2978787,14.036199,0.0,Baseline,1.30b_B03,nifedipine,0.31
-7.4156733,14.737053,0.0,Baseline,1.30b_B03,nifedipine,0.31
-7.1009583,14.85463,0.0,Baseline,1.30b_B03,nifedipine,0.31
-8.2895565,14.759823,0.0,Baseline,1.30b_B03,nifedipine,0.31
-8.16754,14.567133,0.0,Baseline,1.30b_B03,nifedipine,0.31
-7.202916,13.231398,0.0,Baseline,1.30b_B03,nifedipine,0.31
-6.3949766,13.590502,0.0,Baseline,1.30b_B03,nifedipine,0.31
-10.147774,13.334289,0.0,Baseline,1.30b_B03,nifedipine,0.31
-7.0849304,14.438479,0.0,Baseline,1.30b_B03,nifedipine,0.31
-8.179677,13.9489565,0.0,Baseline,1.30b_B03,nifedipine,0.31
-7.4843206,12.706659,0.0,Baseline,1.30b_B03,nifedipine,0.31
-10.137115,13.318395,0.0,Baseline,1.30b_B03,nifedipine,0.31
-6.6841187,13.349306,0.0,Baseline,1.30b_B03,nifedipine,0.31
-10.208526,13.291533,0.0,Baseline,1.30b_B03,nifedipine,0.31
-23.228043,18.08441,0.0,Baseline,1.30b_B03,nifedipine,0.31
-7.134285,12.9656925,0.0,Baseline,1.30b_B03,nifedipine,0.31
4.669674,27.824083,0.003,e4031,1.17b_B02,e4031,0.23
6.3778496,29.705029,0.003,e4031,1.17b_B02,e4031,0.23
5.170219,27.370733,0.003,e4031,1.17b_B02,e4031,0.23
4.8837185,28.296751,0.003,e4031,1.17b_B02,e4031,0.23
5.440948,28.280806,0.003,e4031,1.17b_B02,e4031,0.23
4.282937,28.38614,0.003,e4031,1.17b_B02,e4031,0.23
2.5894253,27.500786,0.003,e4031,1.17b_B02,e4031,0.23
5.383121,28.538012,0.003,e4031,1.17b_B02,e4031,0.23
4.645552,25.656847,0.003,e4031,1.17b_B02,e4031,0.23
5.5812397,27.962688,0.003,e4031,1.17b_B02,e4031,0.23
4.6502376,26.912897,0.003,e4031,1.17b_B02,e4031,0.23
4.878434,24.533167,0.01,e4031,1.17b_B02,e4031,0.23
4.5141816,24.92359,0.01,e4031,1.17b_B02,e4031,0.23
3.9391377,24.591803,0.01,e4031,1.17b_B02,e4031,0.23
4.5222044,24.934626,0.01,e4031,1.17b_B02,e4031,0.23
3.9300852,24.093998,0.01,e4031,1.17b_B02,e4031,0.23
4.149539,28.02025,0.01,e4031,1.17b_B02,e4031,0.23
3.3422322,22.933012,0.01,e4031,1.17b_B02,e4031,0.23
3.2143023,22.594234,0.01,e4031,1.17b_B02,e4031,0.23
6.309184,24.961946,0.01,e4031,1.17b_B02,e4031,0.23
3.2343738,20.841532,0.01,e4031,1.17b_B02,e4031,0.23
3.2194297,27.54237,0.01,e4031,1.17b_B02,e4031,0.23
7.1116443,25.365984,0.03,e4031,1.17b_B02,e4031,0.2
4.6927767,25.354382,0.03,e4031,1.17b_B02,e4031,0.2
5.678813,24.712368,0.03,e4031,1.17b_B02,e4031,0.2
6.9925838,25.241753,0.03,e4031,1.17b_B02,e4031,0.2
6.195075,27.17866,0.03,e4031,1.17b_B02,e4031,0.2
6.593938,26.314367,0.03,e4031,1.17b_B02,e4031,0.2
6.4666862,25.502697,0.03,e4031,1.17b_B02,e4031,0.2
4.319315,26.706566,0.03,e4031,1.17b_B02,e4031,0.2
6.9865994,23.913935,0.03,e4031,1.17b_B02,e4031,0.2
-3.533917,5.82519,0.003,e4031,1.20b_B01,e4031,0.48
-2.5776083,9.813246,0.003,e4031,1.20b_B01,e4031,0.48
-3.6444268,10.7265835,0.003,e4031,1.20b_B01,e4031,0.48
-4.934276,6.4536858,0.003,e4031,1.20b_B01,e4031,0.48
-4.344789,10.444888,0.003,e4031,1.20b_B01,e4031,0.48
-4.8768215,5.6781063,0.003,e4031,1.20b_B01,e4031,0.48
-4.17386,10.315333,0.003,e4031,1.20b_B01,e4031,0.48
-5.2036076,6.3011713,0.003,e4031,1.20b_B01,e4031,0.48
-3.692187,6.110122,0.003,e4031,1.20b_B01,e4031,0.48
-0.77744657,18.02096,0.003,e4031,1.20b_B01,e4031,0.48
-2.9743495,11.140698,0.003,e4031,1.20b_B01,e4031,0.48
-1.7488497,12.53185,0.003,e4031,1.20b_B01,e4031,0.48
-3.4644294,9.69882,0.003,e4031,1.20b_B01,e4031,0.48
-2.5559702,11.205665,0.003,e4031,1.20b_B01,e4031,0.48
-0.37293229,17.942373,0.003,e4031,1.20b_B01,e4031,0.48
-1.1750183,12.298132,0.003,e4031,1.20b_B01,e4031,0.48
-0.26949432,17.278261,0.003,e4031,1.20b_B01,e4031,0.48
-0.1480809,17.15053,0.003,e4031,1.20b_B01,e4031,0.48
-2.439896,11.762843,0.003,e4031,1.20b_B01,e4031,0.48
-3.3528993,12.148018,0.003,e4031,1.20b_B01,e4031,0.48
0.5662116,17.933758,0.003,e4031,1.20b_B01,e4031,0.48
-3.4363308,12.07979,0.003,e4031,1.20b_B01,e4031,0.48
-4.8759875,4.4479356,0.003,e4031,1.20b_B01,e4031,0.48
